도메인명(영문),도메인명(한글),코드명,코드값
ADMH_CODE,행정읍/면/동,4161025300,초월읍
,,4161025900,곤지암읍
,,4161033000,도척면
,,4161034000,퇴촌면
,,4161035000,남종면
,,4161037000,남한산성면
,,4161051000,경안동
,,4161052000,송정동
,,4161054000,쌍령동
,,4161055000,탄벌동
,,4161056000,광남1동
,,4161057000,광남2동
,,4161058000,오포1동
,,4161059000,오포2동
,,4161060000,신현동
,,4161061000,능평동
ADMB_CODE,법정읍/면/동,4161010200,쌍령동
,,4161010100,경안동
,,4161011200,역동
,,4161010300,송정동
,,4161010200,쌍령동
,,4161010400,회덕동
,,4161010500,탄벌동
,,4161010600,목현동
,,4161010700,삼동
,,4161010800,중대동
,,4161010900,직동
,,4161011000,태전동
,,4161011100,장지동
,,4161011300,목동
,,4161011400,고산동
,,4161011700,문형동
,,4161011800,추자동
,,4161011900,매산동
,,4161012000,양벌동
,,4161011500,신현동
,,4161011600,능평동
,,4161011600,오포읍
,,4161025300,초월읍
,,4161025900,곤지암읍
,,4161033000,도척면
,,4161034000,퇴촌면
,,4161035000,남종면
,,4161037000,남한산성면
MNG_CODE,관리기관,MNG000,미분류
,,MNG001,광주시
,,MNG600,경찰서
,,MNG700,소방서
,,MNG400,한국전력
,,MNG100,KT
,,MNG300,한국도시가스
,,MNG500,하나로통신
,,MNG999,기타
,,MNG800,국토해양부
,,MNG900,경기도
,,MNG200,코원에너지서비스
UDG_CODE,상하행구분,UDG000,미분류
,,UDG001,상행(우)
,,UDG002,하행(좌)
,,UDG999,기타
TRE_CODE,가로수수종,TRE000,미분류
,,TRE001,은행나무
,,TRE002,느티나무
,,TRE003,버즘나무
,,TRE004,회화나무
,,TRE005,메타세콰이아
,,TRE006,왕벗나무
,,TRE007,산벗나무
,,TRE008,능수벗나무
,,TRE009,측백나무
,,TRE010,꽃사과
,,TRE011,단풍나무
,,TRE012,이팝나무
,,TRE013,밤나무
,,TRE014,소나무
,,TRE015,전나무
,,TRE016,참나무
,,TRE017,플라타너스
,,TRE018,벗나무
,,TRE999,기타
YON_CODE,시설물유무,YON000,미분류
,,YON001,없음
,,YON002,있음
STA2_CODE,가로수상태,STA001,양호
,,STA002,훼손
,,STA003,고사
ACQ_CODE,취득구분,ACQ000,미분류
,,ACQ001,매입
,,ACQ002,무상귀속
,,ACQ003,기부채납
,,ACQ004,민자유치건설
,,ACQ005,기증
,,ACQ006,교환
,,ACQ007,관리전환
,,ACQ008,양여
,,ACQ009,증축
,,ACQ999,기타
INIT_CODE,대장초기화여부,0,대장초기화
,,1,대장입력완료